5.57,012.00437854,-21.72247464,5.498,5.554,-0.058,-.04
5.86,012.03698124,+72.67445774,7.148,5.970,1.010,0.99
5.92,012.07226858,+07.29991977,7.345,6.043,1.104,1.07
5.74,012.09388786,+05.28338873,6.875,5.845,0.890,0.97
5.09,012.14632729,-74.92335356,6.871,5.241,1.345,1.34
4.44,012.17039736,+07.58520186,6.391,4.600,1.500,1.58
4.90,012.20830552,+50.96819154,4.787,4.892,-0.091,-.07
5.07,012.24462380,+16.94113370,5.684,5.124,0.502,0.57
3.46,012.27125262,+57.81654770,4.158,3.520,0.587,0.66
5.90,012.30791020,-24.13652681,7.113,6.001,0.944,0.93
5.59,012.35647376,-13.56101709,7.321,5.749,1.325,1.29
4.53,012.45345723,+41.07895474,4.352,4.510,-0.136,-.14
5.17,012.53218487,-10.64377045,5.780,5.228,0.514,0.59
5.24,012.67136689,-50.98692422,5.670,5.273,0.356,0.42
5.35,012.68155194,+64.24758084,5.982,5.423,0.528,0.60
5.47,013.16917061,-24.00592567,7.129,5.616,1.275,1.24
4.78,013.25204382,-01.14422060,6.818,4.946,1.550,1.66
4.80,013.26783051,+61.12355735,5.466,4.856,0.540,0.61
5.73,013.40741156,-62.87135327,7.678,5.924,1.574,2.93
5.80,013.64674999,+19.18843611,5.777,5.797,-0.016,0.01
5.59,013.71984836,+83.70746159,5.717,5.601,0.105,0.12
5.46,013.74174956,+23.62844595,6.791,5.611,1.012,0.99
4.83,013.75080422,+58.97279657,6.408,4.959,1.216,1.19
5.45,013.75124739,-69.52697888,6.845,5.575,1.095,1.05
5.88,013.92668443,-07.34703997,7.884,6.048,1.520,1.57
5.35,014.00627513,-11.26650685,7.323,5.521,1.505,1.49
4.62,014.16671042,+59.18116582,5.843,4.732,0.957,1.01
2.15,014.17708808,+60.71674966,2.112,2.168,-0.046,-.02
3.86,014.18790699,+38.49925513,4.038,3.881,0.130,0.14
5.56,014.19558745,+60.36284769,5.486,5.550,-0.054,-.03
4.40,014.30178237,+23.41775997,5.606,4.502,0.940,0.94
5.44,014.45895150,+28.99223560,6.818,5.553,1.076,0.99
5.99,014.55914315,+33.95105921,7.270,6.104,1.000,0.98
5.97,014.62916229,+66.35182541,5.953,5.967,-0.008,0.01
4.30,014.65144118,-29.35746436,4.123,4.283,-0.154,-.12
